radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,222,10,10096,26246742,283,8.7451985,45.8315141,6512,10,1,1587731315,1596148984,
UMTS,222,10,10096,26249097,184,8.8315911,45.8666397,1246,3,1,1538918908,1581316067,
UMTS,222,10,10096,26249098,382,8.8328050,45.8353360,0,1,1,1593174563,1593174563,
UMTS,222,10,10096,26249099,277,8.7991052,45.8376819,1574,7,1,1583963258,1595831469,
UMTS,222,10,10096,26250847,48,8.8476730,45.8046060,0,1,1,1582223725,1582223725,
UMTS,222,10,10096,26252818,491,8.7975098,45.8339247,205,3,1,1593754548,1595831449,
UMTS,222,10,10096,26252819,511,8.7804642,45.8368310,3019,6,1,1586521734,1595831475,
UMTS,222,10,10096,26256611,29,8.8811560,45.8131650,0,1,1,1583828277,1583828277,
UMTS,222,10,10096,26258348,196,8.8209534,45.9258468,29,2,1,1538918908,1581316067,
UMTS,222,10,10096,26258798,278,8.7606298,45.8071334,4529,31,1,1582311443,1595161903,
UMTS,222,10,10096,26259899,367,8.8689930,45.7786600,0,1,1,1583069360,1583069360,
UMTS,222,10,10096,26261262,92,8.7030563,45.7178992,51,2,1,1592137772,1592137772,
UMTS,222,10,10096,26261291,60,8.6719960,45.8459060,0,1,1,1584711014,1584711014,
UMTS,222,10,10096,26261297,509,8.6692178,45.8476131,228,3,1,1594557016,1595831459,
UMTS,222,10,10096,26261427,469,8.6728870,45.7222540,0,1,1,1594384222,1594384222,
UMTS,222,10,10096,26261489,162,8.7726020,45.8385020,0,1,1,1595831475,1595831475,
UMTS,222,10,10096,26261493,317,8.8700739,45.8074691,1282,3,1,1583069360,1593174576,
UMTS,222,10,10096,26261533,96,8.6901659,45.7203286,440,2,1,1550950714,1592137772,
UMTS,222,10,10096,26262298,33,8.7870215,45.8079156,227,5,1,1583674138,1589787753,
UMTS,222,10,10096,26262299,34,8.7737466,45.8302786,1252,8,1,1583501316,1591360120,
UMTS,222,10,10096,26264641,237,8.8081950,45.8156540,0,1,1,1591127066,1591127066,
UMTS,222,10,10096,26265248,257,8.6717571,45.8599239,2875,5,1,1594557026,1595831475,
UMTS,222,10,10096,26269089,99,8.8021207,45.7998065,25,2,1,1592137792,1592137792,
UMTS,222,10,10096,26274857,444,8.8077956,45.8189240,398,5,1,1591127066,1593754583,
UMTS,222,10,10096,26274859,446,8.7850168,45.8046199,3503,7,1,1591127061,1592693212,
UMTS,222,10,10096,26274879,12,8.8464660,45.8081230,0,1,1,1594557011,1594557011,
UMTS,222,10,10096,26275359,382,8.8324260,45.8355140,0,1,1,1593174563,1593174563,
UMTS,222,10,10096,26275757,401,8.9061330,45.8368600,0,1,1,1591381955,1591381955,
